epoch,episode_reward,nb_episode_steps,nb_steps
0,27.0,733,733
1,30.0,785,1518
2,12.0,547,2065
3,26.0,733,2798
4,28.0,617,3415
5,28.0,704,4119
6,15.0,594,4713
7,27.0,668,5381
8,17.0,590,5971
9,22.0,738,6709
10,29.0,773,7482
11,23.0,649,8131
12,27.0,732,8863
13,21.0,524,9387
14,14.0,493,9880
15,15.0,457,10337
16,19.0,606,10943
17,16.0,580,11523
18,33.0,856,12379
19,27.0,565,12944
20,26.0,570,13514
21,10.0,497,14011
22,21.0,522,14533
23,25.0,617,15150
24,20.0,639,15789
25,20.0,522,16311
26,21.0,642,16953
27,16.0,586,17539
28,21.0,660,18199
29,28.0,758,18957
30,14.0,662,19619
31,20.0,506,20125
32,24.0,632,20757
33,15.0,479,21236
34,22.0,618,21854
35,33.0,783,22637
36,22.0,610,23247
37,31.0,715,23962
38,20.0,653,24615
39,16.0,441,25056
40,26.0,800,25856
41,28.0,659,26515
42,24.0,687,27202
43,16.0,699,27901
44,18.0,569,28470
45,30.0,671,29141
46,18.0,604,29745
47,16.0,549,30294
48,10.0,417,30711
49,15.0,460,31171
50,24.0,653,31824
51,24.0,660,32484
52,22.0,757,33241
53,20.0,582,33823
54,31.0,569,34392
55,28.0,640,35032
56,36.0,709,35741
57,17.0,511,36252
58,25.0,600,36852
59,26.0,813,37665
60,21.0,681,38346
61,16.0,470,38816
62,20.0,588,39404
63,41.0,931,40335
64,28.0,691,41026
65,15.0,546,41572
66,23.0,654,42226
67,25.0,748,42974
68,21.0,628,43602
69,17.0,603,44205
70,19.0,659,44864
71,21.0,695,45559
72,25.0,575,46134
73,15.0,592,46726
74,14.0,582,47308
75,28.0,657,47965
76,13.0,502,48467
77,8.0,491,48958
78,18.0,636,49594
0,18.0,658,658
1,18.0,605,1263
2,19.0,531,1794
3,24.0,690,2484
4,18.0,663,3147
5,14.0,619,3766
6,23.0,724,4490
7,14.0,517,5007
8,16.0,566,5573
9,32.0,630,6203
10,22.0,686,6889
11,20.0,545,7434
12,16.0,622,8056
13,18.0,732,8788
14,16.0,632,9420
0,11.0,611,611
1,26.0,589,1200
2,27.0,775,1975
3,19.0,564,2539
4,16.0,673,3212
5,28.0,729,3941
6,21.0,477,4418
7,24.0,626,5044
8,17.0,498,5542
9,36.0,950,6492
10,17.0,555,7047
11,16.0,663,7710
12,28.0,690,8400
13,16.0,718,9118
14,20.0,703,9821
15,25.0,603,10424
16,14.0,602,11026
17,20.0,538,11564
18,11.0,472,12036
19,73.0,1560,13596
20,24.0,715,14311
21,24.0,696,15007
22,16.0,516,15523
23,24.0,522,16045
24,15.0,589,16634
25,13.0,661,17295
26,23.0,617,17912
27,12.0,533,18445
28,27.0,651,19096
29,20.0,648,19744
30,13.0,560,20304
31,10.0,687,20991
32,25.0,614,21605
33,21.0,713,22318
34,19.0,614,22932
35,15.0,558,23490
36,21.0,662,24152
37,16.0,546,24698
38,23.0,671,25369
39,13.0,563,25932
40,42.0,970,26902
41,21.0,514,27416
42,17.0,539,27955
43,13.0,528,28483
44,23.0,656,29139
45,16.0,535,29674
46,16.0,690,30364
47,23.0,666,31030
48,19.0,511,31541
49,26.0,697,32238
50,28.0,681,32919
51,23.0,798,33717
52,22.0,576,34293
53,23.0,798,35091
54,18.0,546,35637
55,17.0,530,36167
56,36.0,1101,37268
57,20.0,686,37954
58,10.0,482,38436
59,17.0,555,38991
60,19.0,680,39671
61,12.0,433,40104
62,37.0,690,40794
63,21.0,670,41464
64,30.0,706,42170
65,28.0,747,42917
66,17.0,721,43638
67,13.0,473,44111
68,19.0,679,44790
69,15.0,509,45299
70,30.0,700,45999
71,17.0,686,46685
72,15.0,540,47225
73,18.0,597,47822
74,28.0,617,48439
75,14.0,512,48951
76,26.0,799,49750
0,29.0,831,831
1,19.0,661,1492
2,14.0,590,2082
3,19.0,715,2797
4,13.0,526,3323
5,10.0,406,3729
6,7.0,423,4152
7,12.0,521,4673
8,24.0,579,5252
9,16.0,608,5860
10,23.0,702,6562
11,22.0,689,7251
12,13.0,467,7718
13,18.0,592,8310
14,15.0,625,8935
15,29.0,716,9651
0,20.0,653,653
0,24.0,779,779
0,21.0,604,604
0,33.0,948,948
0,16.0,530,530
0,13.0,571,571
0,25.0,660,660
0,15.0,540,540
1,23.0,562,1102
2,24.0,704,1806
3,42.0,1021,2827
4,22.0,626,3453
5,29.0,746,4199
6,13.0,550,4749
7,20.0,598,5347
8,39.0,778,6125
9,24.0,623,6748
10,34.0,856,7604
11,23.0,660,8264
12,15.0,491,8755
13,26.0,775,9530
0,27.0,733,733
1,30.0,785,1518
2,12.0,547,2065
3,26.0,733,2798
4,28.0,617,3415
5,28.0,704,4119
6,15.0,594,4713
7,27.0,668,5381
8,17.0,590,5971
9,22.0,738,6709
10,29.0,773,7482
11,23.0,649,8131
12,27.0,732,8863
13,21.0,524,9387
14,14.0,493,9880
